,system:id,y,x,relativeOrbitNumber_start,timestamp,year,datedif
249,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170406T003945_20170406T004010_005033_008CD6_9D4A,50.7,-102.91,107,2017-04-06 00:39:45.430000067+00:00,2017,0.0
250,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170418T003946_20170418T004011_005208_0091D8_32D8,50.7,-102.91,107,2017-04-18 00:39:46+00:00,2017,12.0
251,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170512T003947_20170512T004012_005558_009BC4_094C,50.7,-102.91,107,2017-05-12 00:39:47+00:00,2017,24.0
252,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170524T003947_20170524T004012_005733_00A0B7_6F4B,50.7,-102.91,107,2017-05-24 00:39:47+00:00,2017,12.0
253,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170605T003948_20170605T004013_005908_00A5CB_20A5,50.7,-102.91,107,2017-06-05 00:39:48+00:00,2017,12.0
254,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170617T003949_20170617T004014_006083_00AAF3_93E5,50.7,-102.91,107,2017-06-17 00:39:49+00:00,2017,12.0
255,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170629T003949_20170629T004014_006258_00B006_FC24,50.7,-102.91,107,2017-06-29 00:39:49+00:00,2017,12.0
256,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170711T003950_20170711T004015_006433_00B4F6_8D5C,50.7,-102.91,107,2017-07-11 00:39:50+00:00,2017,12.0
257,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170723T003951_20170723T004016_006608_00B9F5_F72E,50.7,-102.91,107,2017-07-23 00:39:51+00:00,2017,12.0
258,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170804T003951_20170804T004016_006783_00BEFA_08D3,50.7,-102.91,107,2017-08-04 00:39:51+00:00,2017,12.0
259,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170828T003953_20170828T004018_007133_00C928_AE4F,50.7,-102.91,107,2017-08-28 00:39:53+00:00,2017,24.0
260,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170909T003953_20170909T004018_007308_00CE41_7EBD,50.7,-102.91,107,2017-09-09 00:39:53+00:00,2017,12.0
261,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171015T003954_20171015T004019_007833_00DD53_41B7,50.7,-102.91,107,2017-10-15 00:39:54+00:00,2017,36.0
262,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171027T003954_20171027T004019_008008_00E263_EAA4,50.7,-102.91,107,2017-10-27 00:39:54+00:00,2017,12.0
