,system:id,y,x,relativeOrbitNumber_start,timestamp,year,datedif
132,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170503T010407_20170503T010432_005427_00983A_3CE9,49.48,-108.8,151,2017-05-03 01:04:07.759999990+00:00,2017,0.0
169,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170515T010416_20170515T010441_005602_009D02_4A33,49.98,-108.94,151,2017-05-15 01:04:16+00:00,2017,0.0
170,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170527T010417_20170527T010442_005777_00A205_2F6D,49.98,-108.94,151,2017-05-27 01:04:17+00:00,2017,12.0
171,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170608T010417_20170608T010442_005952_00A717_3665,49.98,-108.94,151,2017-06-08 01:04:17+00:00,2017,12.0
172,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170702T010419_20170702T010444_006302_00B14B_05EE,49.98,-108.94,151,2017-07-02 01:04:19+00:00,2017,24.0
173,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170714T010420_20170714T010445_006477_00B639_617D,49.98,-108.94,151,2017-07-14 01:04:20+00:00,2017,12.0
174,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170726T010420_20170726T010445_006652_00BB37_9DF9,49.98,-108.94,151,2017-07-26 01:04:20+00:00,2017,12.0
175,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170807T010421_20170807T010446_006827_00C043_9631,49.98,-108.94,151,2017-08-07 01:04:21+00:00,2017,12.0
176,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170819T010421_20170819T010446_007002_00C561_2754,49.98,-108.94,151,2017-08-19 01:04:21+00:00,2017,12.0
177,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170831T010422_20170831T010447_007177_00CA6A_0E1A,49.98,-108.94,151,2017-08-31 01:04:22+00:00,2017,12.0
178,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170912T010422_20170912T010447_007352_00CF90_6941,49.98,-108.94,151,2017-09-12 01:04:22+00:00,2017,12.0
179,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170924T010423_20170924T010448_007527_00D4A0_919C,49.98,-108.94,151,2017-09-24 01:04:23+00:00,2017,12.0
180,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171006T010423_20171006T010448_007702_00D9A6_27A4,49.98,-108.94,151,2017-10-06 01:04:23+00:00,2017,12.0
181,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171018T010423_20171018T010448_007877_00DE9C_2195,49.98,-108.94,151,2017-10-18 01:04:23+00:00,2017,12.0
182,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171030T010423_20171030T010448_008052_00E3A9_B5BE,49.98,-108.94,151,2017-10-30 01:04:23+00:00,2017,12.0
190,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180404T010421_20180404T010446_010327_012CBC_7B08,49.98,-108.9,151,2018-04-04 01:04:21+00:00,2018,0.0
191,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180416T010421_20180416T010446_010502_013254_F295,49.98,-108.9,151,2018-04-16 01:04:21+00:00,2018,12.0
192,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180428T010422_20180428T010447_010677_0137EF_AB56,49.98,-108.9,151,2018-04-28 01:04:22+00:00,2018,12.0
193,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180522T010423_20180522T010448_011027_014343_E42C,49.98,-108.9,151,2018-05-22 01:04:23+00:00,2018,24.0
194,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180603T010423_20180603T010448_011202_0148EF_C031,49.98,-108.9,151,2018-06-03 01:04:23+00:00,2018,12.0
195,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180627T010425_20180627T010450_011552_0153BB_E15B,49.98,-108.9,151,2018-06-27 01:04:25+00:00,2018,24.0
196,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180709T010426_20180709T010451_011727_015929_0922,49.98,-108.9,151,2018-07-09 01:04:26+00:00,2018,12.0
197,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180709T010426_20180709T010451_011727_015929_4948,49.98,-108.9,151,2018-07-09 01:04:26+00:00,2018,0.0
198,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180721T010427_20180721T010452_011902_015E85_130E,49.98,-108.9,151,2018-07-21 01:04:27+00:00,2018,12.0
199,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180802T010427_20180802T010452_012077_0163CE_FE57,49.98,-108.9,151,2018-08-02 01:04:27+00:00,2018,12.0
200,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180814T010428_20180814T010453_012252_016935_EEA9,49.98,-108.9,151,2018-08-14 01:04:28+00:00,2018,12.0
201,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180826T010429_20180826T010454_012427_016EA3_D1FD,49.98,-108.9,151,2018-08-26 01:04:29+00:00,2018,12.0
202,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180907T010429_20180907T010454_012602_017408_AAEA,49.98,-108.9,151,2018-09-07 01:04:29+00:00,2018,12.0
203,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180919T010429_20180919T010454_012777_017961_7433,49.98,-108.9,151,2018-09-19 01:04:29+00:00,2018,12.0
204,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181001T010430_20181001T010455_012952_017EC1_28BF,49.98,-108.9,151,2018-10-01 01:04:30+00:00,2018,12.0
205,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181013T010430_20181013T010455_013127_018413_77B3,49.98,-108.9,151,2018-10-13 01:04:30+00:00,2018,12.0
199,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190517T010429_20190517T010454_016277_01EA21_A39C,49.98,-108.9,151,2019-05-17 01:04:29+00:00,2019,0.0
200,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190529T010430_20190529T010455_016452_01EF82_7652,49.98,-108.9,151,2019-05-29 01:04:30+00:00,2019,12.0
201,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190610T010430_20190610T010455_016627_01F4B5_A870,49.98,-108.9,151,2019-06-10 01:04:30+00:00,2019,12.0
202,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190622T010431_20190622T010456_016802_01F9EA_B729,49.98,-108.9,151,2019-06-22 01:04:31+00:00,2019,12.0
