,system:id,y,x,relativeOrbitNumber_start,timestamp,year,datedif
218,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170426T011239_20170426T011304_005325_00954B_F769,50.59,-111.16,49,2017-04-26 01:12:39.450000048+00:00,2017,0.0
219,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170508T011240_20170508T011305_005500_009A32_FA03,50.59,-111.16,49,2017-05-08 01:12:40+00:00,2017,12.0
220,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170520T011240_20170520T011305_005675_009F0A_448F,50.59,-111.16,49,2017-05-20 01:12:40+00:00,2017,12.0
221,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170601T011241_20170601T011306_005850_00A419_0B8F,50.59,-111.16,49,2017-06-01 01:12:41+00:00,2017,12.0
222,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170613T011242_20170613T011307_006025_00A937_11F7,50.59,-111.16,49,2017-06-13 01:12:42+00:00,2017,12.0
223,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170625T011242_20170625T011307_006200_00AE50_332F,50.59,-111.16,49,2017-06-25 01:12:42+00:00,2017,12.0
224,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170707T011243_20170707T011308_006375_00B341_7B63,50.59,-111.16,49,2017-07-07 01:12:43+00:00,2017,12.0
225,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170731T011244_20170731T011309_006725_00BD49_D52E,50.59,-111.16,49,2017-07-31 01:12:44+00:00,2017,24.0
226,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170812T011245_20170812T011310_006900_00C25E_5859,50.59,-111.16,49,2017-08-12 01:12:45+00:00,2017,12.0
227,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170905T011246_20170905T011311_007250_00CC84_FBB1,50.59,-111.16,49,2017-09-05 01:12:46+00:00,2017,24.0
228,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170917T011247_20170917T011312_007425_00D1AD_738F,50.59,-111.16,49,2017-09-17 01:12:47+00:00,2017,12.0
229,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170929T011247_20170929T011312_007600_00D6B3_C8E6,50.59,-111.17,49,2017-09-29 01:12:47+00:00,2017,12.0
230,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171011T011247_20171011T011312_007775_00DBB6_A461,50.59,-111.17,49,2017-10-11 01:12:47+00:00,2017,12.0
232,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180421T011245_20180421T011310_010575_013499_7DCF,50.59,-111.13,49,2018-04-21 01:12:45+00:00,2018,0.0
233,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180503T011246_20180503T011311_010750_013A3D_C8C5,50.59,-111.12,49,2018-05-03 01:12:46+00:00,2018,12.0
234,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180515T011246_20180515T011311_010925_013FE5_51A8,50.59,-111.12,49,2018-05-15 01:12:46+00:00,2018,12.0
235,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180527T011247_20180527T011312_011100_01459C_E0E0,50.59,-111.13,49,2018-05-27 01:12:47+00:00,2018,12.0
236,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180608T011248_20180608T011313_011275_014B20_27E2,50.59,-111.13,49,2018-06-08 01:12:48+00:00,2018,12.0
237,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180702T011249_20180702T011314_011625_0155F7_C37D,50.59,-111.13,49,2018-07-02 01:12:49+00:00,2018,24.0
238,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180714T011250_20180714T011315_011800_015B64_BD67,50.59,-111.12,49,2018-07-14 01:12:50+00:00,2018,12.0
239,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180726T011251_20180726T011316_011975_0160AF_0C44,50.59,-111.12,49,2018-07-26 01:12:51+00:00,2018,12.0
240,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180807T011251_20180807T011316_012150_016600_0069,50.59,-111.12,49,2018-08-07 01:12:51+00:00,2018,12.0
241,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180819T011252_20180819T011317_012325_016B6E_1B8E,50.59,-111.13,49,2018-08-19 01:12:52+00:00,2018,12.0
242,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180831T011253_20180831T011318_012500_0170D9_B55B,50.59,-111.12,49,2018-08-31 01:12:53+00:00,2018,12.0
243,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180912T011253_20180912T011318_012675_01763C_6264,50.59,-111.13,49,2018-09-12 01:12:53+00:00,2018,12.0
244,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180924T011253_20180924T011318_012850_017B9B_2531,50.59,-111.12,49,2018-09-24 01:12:53+00:00,2018,12.0
245,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181006T011254_20181006T011319_013025_0180F1_712F,50.59,-111.13,49,2018-10-06 01:12:54+00:00,2018,12.0
246,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181018T011254_20181018T011319_013200_018654_B7FB,50.59,-111.13,49,2018-10-18 01:12:54+00:00,2018,12.0
244,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190404T011251_20190404T011316_015650_01D594_DF9D,50.59,-111.13,49,2019-04-04 01:12:51+00:00,2019,0.0
245,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190416T011251_20190416T011316_015825_01DB65_EEC9,50.59,-111.13,49,2019-04-16 01:12:51+00:00,2019,12.0
246,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190428T011252_20190428T011317_016000_01E133_D802,50.59,-111.13,49,2019-04-28 01:12:52+00:00,2019,12.0
247,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190510T011252_20190510T011317_016175_01E6F5_4EBE,50.59,-111.13,49,2019-05-10 01:12:52+00:00,2019,12.0
248,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190522T011253_20190522T011318_016350_01EC5D_08C1,50.59,-111.13,49,2019-05-22 01:12:53+00:00,2019,12.0
249,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190603T011254_20190603T011319_016525_01F1AC_0C17,50.59,-111.12,49,2019-06-03 01:12:54+00:00,2019,12.0
250,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190615T011254_20190615T011319_016700_01F6DD_A3E8,50.59,-111.12,49,2019-06-15 01:12:54+00:00,2019,12.0
251,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190627T011255_20190627T011320_016875_01FC07_D2AA,50.59,-111.13,49,2019-06-27 01:12:55+00:00,2019,12.0
252,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190709T011256_20190709T011321_017050_02013B_F46A,50.59,-111.13,49,2019-07-09 01:12:56+00:00,2019,12.0
253,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190721T011257_20190721T011322_017225_020651_02F1,50.59,-111.13,49,2019-07-21 01:12:57+00:00,2019,12.0
254,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190802T011257_20190802T011322_017400_020B89_7BF7,50.59,-111.12,49,2019-08-02 01:12:57+00:00,2019,12.0
255,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190814T011258_20190814T011323_017575_0210E8_D9C8,50.59,-111.13,49,2019-08-14 01:12:58+00:00,2019,12.0
256,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190826T011259_20190826T011324_017750_021663_3AA5,50.59,-111.13,49,2019-08-26 01:12:59+00:00,2019,12.0
257,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190907T011259_20190907T011324_017925_021BCA_F8FA,50.59,-111.13,49,2019-09-07 01:12:59+00:00,2019,12.0
258,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190919T011300_20190919T011325_018100_022143_39E7,50.59,-111.13,49,2019-09-19 01:13:00+00:00,2019,12.0
259,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191001T011300_20191001T011325_018275_0226A6_5531,50.59,-111.13,49,2019-10-01 01:13:00+00:00,2019,12.0
260,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191013T011300_20191013T011325_018450_022C1F_6F02,50.59,-111.12,49,2019-10-13 01:13:00+00:00,2019,12.0
261,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191025T011300_20191025T011325_018625_023176_4DE5,50.59,-111.13,49,2019-10-25 01:13:00+00:00,2019,12.0
246,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200410T011257_20200410T011322_021075_027FB0_52A0,50.59,-111.13,49,2020-04-10 01:12:57+00:00,2020,0.0
247,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200422T011258_20200422T011323_021250_028536_DCC6,50.59,-111.12,49,2020-04-22 01:12:58+00:00,2020,12.0
248,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200504T011259_20200504T011324_021425_028AC6_D36E,50.59,-111.13,49,2020-05-04 01:12:59+00:00,2020,12.0
249,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200516T011259_20200516T011324_021600_029016_1473,50.59,-111.13,49,2020-05-16 01:12:59+00:00,2020,12.0
