,system:id,y,x,relativeOrbitNumber_start,timestamp,year,datedif
146,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170904T003121_20170904T003146_007235_00CC10_5974,49.63,-100.59,34,2017-09-04 00:31:21+00:00,2017,0.0
147,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171022T003123_20171022T003148_007935_00E042_F1C5,49.63,-100.59,34,2017-10-22 00:31:23+00:00,2017,48.0
148,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170507T003115_20170507T003140_005485_0099CD_C241,49.64,-100.59,34,2017-05-07 00:31:15+00:00,2017,0.0
149,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170519T003116_20170519T003141_005660_009E9C_7327,49.64,-100.59,34,2017-05-19 00:31:16.180000067+00:00,2017,12.0
150,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170531T003116_20170531T003141_005835_00A3AA_033A,49.64,-100.59,34,2017-05-31 00:31:16+00:00,2017,12.0
151,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170612T003117_20170612T003142_006010_00A8C4_941E,49.64,-100.59,34,2017-06-12 00:31:17+00:00,2017,12.0
152,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170624T003118_20170624T003143_006185_00ADDF_2D33,49.64,-100.58,34,2017-06-24 00:31:18+00:00,2017,12.0
153,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170706T003118_20170706T003143_006360_00B2CF_BE3E,49.64,-100.59,34,2017-07-06 00:31:18+00:00,2017,12.0
154,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170730T003120_20170730T003145_006710_00BCD6_CC7B,49.64,-100.59,34,2017-07-30 00:31:20+00:00,2017,24.0
155,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170823T003121_20170823T003146_007060_00C6FC_D89E,49.64,-100.59,34,2017-08-23 00:31:21+00:00,2017,24.0
156,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20170916T003122_20170916T003147_007410_00D13A_2AFF,49.64,-100.59,34,2017-09-16 00:31:22+00:00,2017,24.0
157,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20171010T003123_20171010T003148_007760_00DB44_BF2D,49.64,-100.59,34,2017-10-10 00:31:23+00:00,2017,24.0
156,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180502T003121_20180502T003146_010735_0139C5_2961,49.63,-100.59,34,2018-05-02 00:31:21+00:00,2018,0.0
157,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180514T003122_20180514T003147_010910_013F6F_F72D,49.63,-100.59,34,2018-05-14 00:31:22+00:00,2018,12.0
158,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180923T003129_20180923T003154_012835_017B2E_3DC0,49.63,-100.59,34,2018-09-23 00:31:29+00:00,2018,132.0
159,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181017T003129_20181017T003154_013185_0185DE_EBB1,49.63,-100.59,34,2018-10-17 00:31:29+00:00,2018,24.0
160,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180408T003120_20180408T003145_010385_012E91_89EA,49.64,-100.59,34,2018-04-08 00:31:20+00:00,2018,0.0
161,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180420T003120_20180420T003145_010560_013420_95AE,49.64,-100.59,34,2018-04-20 00:31:20+00:00,2018,12.0
162,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180526T003122_20180526T003147_011085_014522_E46F,49.64,-100.59,34,2018-05-26 00:31:22+00:00,2018,36.0
163,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180607T003123_20180607T003148_011260_014AAF_29A7,49.64,-100.59,34,2018-06-07 00:31:23+00:00,2018,12.0
164,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180619T003124_20180619T003149_011435_015013_0C21,49.64,-100.59,34,2018-06-19 00:31:24+00:00,2018,12.0
165,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180701T003125_20180701T003150_011610_015583_3200,49.64,-100.59,34,2018-07-01 00:31:25+00:00,2018,12.0
166,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180713T003125_20180713T003150_011785_015AEF_EFAE,49.64,-100.59,34,2018-07-13 00:31:25+00:00,2018,12.0
167,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180725T003126_20180725T003151_011960_01603F_AA67,49.64,-100.59,34,2018-07-25 00:31:26+00:00,2018,12.0
168,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180806T003126_20180806T003151_012135_01658D_9C05,49.64,-100.59,34,2018-08-06 00:31:26+00:00,2018,12.0
169,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180818T003128_20180818T003153_012310_016AF9_70A0,49.64,-100.59,34,2018-08-18 00:31:28+00:00,2018,12.0
170,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180830T003128_20180830T003153_012485_01706B_F79C,49.64,-100.59,34,2018-08-30 00:31:28+00:00,2018,12.0
171,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20180911T003129_20180911T003154_012660_0175CE_78B2,49.64,-100.59,34,2018-09-11 00:31:29+00:00,2018,12.0
172,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181005T003129_20181005T003154_013010_018082_77EF,49.64,-100.59,34,2018-10-05 00:31:29+00:00,2018,24.0
173,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20181029T003129_20181029T003154_013360_018B53_2CA6,49.64,-100.59,34,2018-10-29 00:31:29+00:00,2018,24.0
166,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190427T003128_20190427T003153_015985_01E0B8_A7CC,49.63,-100.59,34,2019-04-27 00:31:28+00:00,2019,0.0
167,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190521T003129_20190521T003154_016335_01EBE6_DEB2,49.63,-100.59,34,2019-05-21 00:31:29+00:00,2019,24.0
168,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190614T003130_20190614T003155_016685_01F66A_E6DB,49.63,-100.59,34,2019-06-14 00:31:30+00:00,2019,24.0
169,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190720T003132_20190720T003157_017210_0205DE_5F0C,49.63,-100.59,34,2019-07-20 00:31:32+00:00,2019,36.0
170,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190801T003133_20190801T003158_017385_020B0F_D4EF,49.63,-100.58,34,2019-08-01 00:31:33+00:00,2019,12.0
171,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190906T003135_20190906T003200_017910_021B52_9120,49.63,-100.59,34,2019-09-06 00:31:35+00:00,2019,36.0
172,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191012T003136_20191012T003201_018435_022BAC_75E5,49.63,-100.59,34,2019-10-12 00:31:36+00:00,2019,36.0
173,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190403T003127_20190403T003152_015635_01D51C_CE92,49.64,-100.59,34,2019-04-03 00:31:27+00:00,2019,0.0
174,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190415T003127_20190415T003152_015810_01DAED_858A,49.64,-100.59,34,2019-04-15 00:31:27+00:00,2019,12.0
175,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190509T003128_20190509T003153_016160_01E684_8055,49.64,-100.59,34,2019-05-09 00:31:28+00:00,2019,24.0
